DeviceName,Serial_Number
inhusz1-ldw3487.corp.cyient.com,00329-10380-23679-AA037
inhusz1-ldw3489.corp.cyient.com,00329-10380-75727-AA004
inhusz1-ldw3492.corp.cyient.com,00329-00000-00003-AA621
inhusz1-ldw3494.corp.cyient.com,00329-10380-00000-AA608
inhusz1-ldw3496.corp.cyient.com,00329-00000-00003-AA282
inhusz1-ldw3498.corp.cyient.com,00329-10380-23679-AA900
inhusz1-ldw3499.corp.cyient.com,00329-10380-23679-AA844
inhusz1-ldw3501.corp.cyient.com,00329-00000-00003-AA532
inhusz1-ldw3511.corp.cyient.com,00329-00000-00003-AA198
inhusz1-ldw3512.corp.cyient.com,00329-10380-75727-AA465
inhusz1-ldw3513.corp.cyient.com,00329-10380-23679-AA796
inhusz1-ldw3514.corp.cyient.com,00329-10380-00000-AA185
inhusz1-ldw3515.corp.cyient.com,00329-00000-00003-AA049
inhusz1-ldw3517.corp.cyient.com,00329-00000-00003-AA024
inhusz1-ldw3518.corp.cyient.com,00330-80000-00000-AA975
inhusz1-ldw3519.corp.cyient.com,00329-10380-00000-AA028
inhusz1-ldw3520.corp.cyient.com,00329-10380-00000-AA945
inhusz1-ldw3521.corp.cyient.com,00329-10380-23679-AA264
inhusz1-ldw3522.corp.cyient.com,00329-10380-00000-AA728
inhusz1-ldw3523.corp.cyient.com,00329-10380-23679-AA736
inhusz1-ldw3527.corp.cyient.com,00329-10380-75727-AA827
inhusz1-ldw3530.corp.cyient.com,00329-00000-00003-AA181
inhusz1-ldw3531.corp.cyient.com,00329-10380-00000-AA799
inhusz1-ldw3536.corp.cyient.com,00329-10380-00000-AA090
inhusz1-ldw3537.corp.cyient.com,00329-10380-00000-AA780
inhusz1-ldw3538.corp.cyient.com,00329-00000-00003-AA116
inhusz1-ldw3542.corp.cyient.com,00329-10380-00000-AA031
inhusz1-ldw3543.corp.cyient.com,00329-10380-00000-AA562
inhusz1-ldw3544.corp.cyient.com,00329-10380-00000-AA253
inhusz1-ldw3546.corp.cyient.com,00329-00000-00003-AA423
inhusz1-ldw3550.corp.cyient.com,00329-10380-00153-AA994
inhusz1-ldw3553.corp.cyient.com,00329-10380-00000-AA523
inhusz1-ldw3555.corp.cyient.com,00329-10380-00000-AA011
inhusz1-ldw3562.corp.cyient.com,00329-10380-00000-AA426
inhusz1-ldw3565.corp.cyient.com,00329-00000-00003-AA910
inhusz1-ldw3566.corp.cyient.com,00329-00000-00003-AA447
inhusz1-ldw3567.corp.cyient.com,00329-10380-00000-AA181
inhusz1-ldw3574.corp.cyient.com,00329-00000-00003-AA179
inhusz1-ldw3575.corp.cyient.com,00329-00000-00003-AA700
inhusz1-ldw3576.corp.cyient.com,00329-10380-00000-AA782
inhusz1-ldw3582.corp.cyient.com,00329-10380-00000-AA378
inhusz1-ldw3584.corp.cyient.com,00329-00000-00003-AA191
inhusz1-ldw3586.corp.cyient.com,00329-10380-75727-AA061
inhusz1-ldw3601.corp.cyient.com,00330-80000-00000-AA675
inhusz1-ldw3603.corp.cyient.com,00329-10380-23679-AA620
inhusz1-ldw3604.corp.cyient.com,00329-10380-75727-AA070
inhusz1-ldw3605.corp.cyient.com,00329-10380-23679-AA773
inhusz1-ldw3606.corp.cyient.com,00329-10380-75727-AA211
inhusz1-ldw3607.corp.cyient.com,00329-10380-00000-AA146
